
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =      15.203   TIME= 13:15:19
 Error estimation for elements with orthotropic material properties is   
 not valid when RSYS = 0.  Use RSYS=SOLU to reactivate error             
 estimation.                                                             

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   13:15:19  OCT 16, 2017 CP=     15.203

 Standard Bolted Hole--Static Structural (D3)                                  


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
    1173    0.78137E+001   0.19848E+002  -0.13975E+001   0.32907E+001  -0.16149E+000  -0.22067E+000
    1174    0.85583E+001   0.20717E+002  -0.15041E+001   0.40494E+001   0.45257E-001   0.22072E-001
    1175    0.91078E+001   0.22594E+002   0.51153E+001   0.40354E+001  -0.28410E+000   0.10942E+000
    1176    0.79178E+001   0.21104E+002   0.49544E+001   0.31100E+001  -0.21557E+000  -0.23323E+000
    1177    0.56849E+001   0.16301E+002  -0.14584E+001  -0.31974E+000  -0.11165E+000  -0.20233E+000
    1178    0.55485E+001   0.16093E+002  -0.15499E+001  -0.34752E+000   0.38901E-001   0.69879E-002
    1179    0.58286E+001   0.18232E+002   0.53278E+001  -0.44068E+000  -0.26884E+000   0.16834E+000
    1180    0.46961E+001   0.17928E+002   0.52011E+001  -0.52245E+000  -0.21712E+000  -0.23043E+000
    1181    0.81530E+001   0.20367E+002   0.49528E+000   0.36049E+001  -0.21412E+000  -0.35190E+000
    1182    0.87419E+001   0.21465E+002   0.45530E+000   0.43496E+001  -0.64607E-001   0.41824E-001
    1183    0.69952E+001   0.16856E+002   0.47669E+000  -0.16306E+000  -0.16690E+000  -0.32468E+000
    1184    0.61917E+001   0.16830E+002   0.43250E+000  -0.23094E+000  -0.75820E-001   0.10445E-001
    1185    0.79683E+001   0.20124E+002  -0.11722E+000   0.33172E+001  -0.13408E+000  -0.24110E+000
    1186    0.87947E+001   0.21174E+002  -0.18077E+000   0.42042E+001  -0.20929E-001   0.18821E-001
    1187    0.70592E+001   0.16722E+002  -0.10595E+000  -0.29294E+000  -0.86014E-001  -0.20230E+000
    1188    0.67827E+001   0.16613E+002  -0.15488E+000  -0.27760E+000  -0.10099E-001   0.13031E-001
    1189    0.78426E+001   0.20095E+002   0.86448E-001   0.31959E+001  -0.17387E+000  -0.27542E+000
    1190    0.85748E+001   0.21110E+002   0.36457E-001   0.40046E+001  -0.57729E-001   0.88193E-002
    1191    0.69037E+001   0.16735E+002   0.67599E-001  -0.36776E+000  -0.13334E+000  -0.23414E+000
    1192    0.65748E+001   0.16626E+002   0.17206E-001  -0.38662E+000  -0.65042E-001  -0.12040E-001
    1193    0.78487E+001   0.20075E+002   0.15022E-001   0.31551E+001  -0.14311E+000  -0.24815E+000
    1194    0.85859E+001   0.21082E+002  -0.44035E-001   0.39624E+001  -0.14990E-001   0.34093E-001
    1195    0.70407E+001   0.16738E+002   0.19672E-001  -0.38877E+000  -0.94378E-001  -0.20348E+000
    1196    0.67166E+001   0.16623E+002  -0.29489E-001  -0.41200E+000  -0.73666E-002   0.19258E-001
    1197    0.77725E+001   0.20046E+002   0.42291E-001   0.30737E+001  -0.17417E+000  -0.26823E+000
    1198    0.85073E+001   0.21041E+002  -0.16285E-001   0.38728E+001  -0.57219E-001   0.17684E-002
    1199    0.69449E+001   0.16730E+002   0.31531E-001  -0.43653E+000  -0.13261E+000  -0.21571E+000
    1200    0.66428E+001   0.16608E+002  -0.21818E-001  -0.46319E+000  -0.60435E-001  -0.10832E-001
    1201    0.77578E+001   0.20041E+002   0.37821E-001   0.30429E+001  -0.13498E+000  -0.22730E+000
    1202    0.84701E+001   0.21022E+002  -0.18080E-001   0.38232E+001  -0.15828E-001   0.35353E-001
    1203    0.69343E+001   0.16729E+002   0.29352E-001  -0.46173E+000  -0.86663E-001  -0.18026E+000
