
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =      13.031   TIME= 23:08:17
 The selected element set contains mixed materials.                      
  This could invalidate error estimation.                                

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   23:08:17  JAN 29, 2018 CP=     13.062

 Standard Hole--Static Structural (E5)                                         


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
       1    0.20978E+002   0.33450E+002  -0.30018E+001  -0.17469E+002  -0.10252E+002  -0.11197E+002
       2    0.17180E+002   0.31149E+002  -0.74541E+001  -0.17347E+002  -0.18171E+002  -0.19632E+002
       3    0.13694E+002   0.30234E+002  -0.14142E+002  -0.19070E+002  -0.24740E+002  -0.26715E+002
       4    0.99087E+001   0.30751E+002  -0.22907E+002  -0.21773E+002  -0.30811E+002  -0.33737E+002
       5    0.45316E+001   0.31996E+002  -0.33464E+002  -0.24937E+002  -0.36260E+002  -0.40938E+002
       6   -0.42749E+001   0.32915E+002  -0.45013E+002  -0.28019E+002  -0.40530E+002  -0.47855E+002
       7   -0.18818E+002   0.32315E+002  -0.56368E+002  -0.30100E+002  -0.42780E+002  -0.53269E+002
       8   -0.41763E+002   0.28364E+002  -0.66096E+002  -0.29683E+002  -0.42016E+002  -0.54774E+002
       9   -0.75673E+002   0.18559E+002  -0.72988E+002  -0.24553E+002  -0.37840E+002  -0.48244E+002
      10   -0.12149E+003   0.45075E+000  -0.76861E+002  -0.12746E+002  -0.30876E+002  -0.27566E+002
      11   -0.17684E+003  -0.26679E+002  -0.80187E+002   0.47199E+001  -0.21483E+002   0.13358E+002
      12   -0.23781E+003  -0.60466E+002  -0.82570E+002   0.22548E+002  -0.67715E+001   0.76420E+002
      13   -0.30838E+003  -0.10852E+003  -0.78396E+002   0.29938E+002   0.16882E+002   0.15199E+003
      14   -0.39811E+003  -0.18655E+003  -0.61936E+002   0.14603E+002   0.42446E+002   0.21394E+003
      15   -0.49368E+003  -0.28325E+003  -0.33995E+002  -0.20084E+002   0.54296E+002   0.23036E+003
      16   -0.55828E+003  -0.36335E+003  -0.10734E+002  -0.53629E+002   0.43324E+002   0.18687E+003
      17   -0.55802E+003  -0.39133E+003  -0.96570E+001  -0.66034E+002   0.14749E+002   0.99141E+002
      18   -0.48323E+003  -0.35170E+003  -0.34832E+002  -0.51406E+002  -0.14397E+002   0.30573E+001
      19   -0.35475E+003  -0.26167E+003  -0.78120E+002  -0.18072E+002  -0.26572E+002  -0.66170E+002
      20   -0.21565E+003  -0.15951E+003  -0.11783E+003   0.16146E+002  -0.15593E+002  -0.92068E+002
