
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   23:59:06  FEB 18, 2018 CP=      0.797

 Simple Cube--Static Structural (B5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
       1   -0.15929E+001   0.11603E+002   0.00000E+000  -0.84853E+000   0.00000E+000   0.00000E+000
       2    0.20533E+001   0.80308E+001   0.00000E+000   0.11253E+001   0.00000E+000   0.00000E+000
       3   -0.49864E+000  -0.18882E+001   0.00000E+000   0.19955E+000   0.00000E+000   0.00000E+000
       4    0.26761E+000  -0.60234E-001   0.00000E+000   0.32050E-001   0.00000E+000   0.00000E+000
       5   -0.93275E-001  -0.14909E+001   0.00000E+000   0.10564E+000   0.00000E+000   0.00000E+000
       6   -0.20123E+000  -0.13287E+001   0.00000E+000   0.72598E-001   0.00000E+000   0.00000E+000
       7   -0.21728E+000  -0.11959E+001   0.00000E+000   0.22114E-001   0.00000E+000   0.00000E+000
       8   -0.21107E+000  -0.10669E+001   0.00000E+000  -0.19224E-001   0.00000E+000   0.00000E+000
       9   -0.19495E+000  -0.94082E+000   0.00000E+000  -0.53458E-001   0.00000E+000   0.00000E+000
      10   -0.17310E+000  -0.81579E+000   0.00000E+000  -0.81869E-001   0.00000E+000   0.00000E+000
      11   -0.14768E+000  -0.69139E+000   0.00000E+000  -0.10571E+000   0.00000E+000   0.00000E+000
      12   -0.11983E+000  -0.56736E+000   0.00000E+000  -0.12590E+000   0.00000E+000   0.00000E+000
      13   -0.90243E-001  -0.44360E+000   0.00000E+000  -0.14310E+000   0.00000E+000   0.00000E+000
      14   -0.59390E-001  -0.32002E+000   0.00000E+000  -0.15785E+000   0.00000E+000   0.00000E+000
      15   -0.27581E-001  -0.19653E+000   0.00000E+000  -0.17052E+000   0.00000E+000   0.00000E+000
      16    0.49628E-002  -0.73061E-001   0.00000E+000  -0.18142E+000   0.00000E+000   0.00000E+000
      17    0.38081E-001   0.50475E-001   0.00000E+000  -0.19078E+000   0.00000E+000   0.00000E+000
      18    0.71657E-001   0.17417E+000   0.00000E+000  -0.19876E+000   0.00000E+000   0.00000E+000
      19    0.10560E+000   0.29811E+000   0.00000E+000  -0.20548E+000   0.00000E+000   0.00000E+000
      20    0.13984E+000   0.42240E+000   0.00000E+000  -0.21104E+000   0.00000E+000   0.00000E+000
      21    0.17434E+000   0.54713E+000   0.00000E+000  -0.21549E+000   0.00000E+000   0.00000E+000
      22    0.20904E+000   0.67238E+000   0.00000E+000  -0.21885E+000   0.00000E+000   0.00000E+000
      23    0.24391E+000   0.79823E+000   0.00000E+000  -0.22112E+000   0.00000E+000   0.00000E+000
      24    0.27892E+000   0.92477E+000   0.00000E+000  -0.22230E+000   0.00000E+000   0.00000E+000
      25    0.31406E+000   0.10520E+001   0.00000E+000  -0.22235E+000   0.00000E+000   0.00000E+000
      26    0.34929E+000   0.11801E+001   0.00000E+000  -0.22121E+000   0.00000E+000   0.00000E+000
      27    0.38459E+000   0.13091E+001   0.00000E+000  -0.21883E+000   0.00000E+000   0.00000E+000
      28    0.41995E+000   0.14389E+001   0.00000E+000  -0.21513E+000   0.00000E+000   0.00000E+000
      29    0.45534E+000   0.15696E+001   0.00000E+000  -0.21001E+000   0.00000E+000   0.00000E+000
      30    0.49074E+000   0.17013E+001   0.00000E+000  -0.20338E+000   0.00000E+000   0.00000E+000
      31    0.52612E+000   0.18339E+001   0.00000E+000  -0.19513E+000   0.00000E+000   0.00000E+000
      32    0.56145E+000   0.19674E+001   0.00000E+000  -0.18513E+000   0.00000E+000   0.00000E+000
      33    0.59669E+000   0.21019E+001   0.00000E+000  -0.17327E+000   0.00000E+000   0.00000E+000
      34    0.63183E+000   0.22373E+001   0.00000E+000  -0.15938E+000   0.00000E+000   0.00000E+000
      35    0.66680E+000   0.23736E+001   0.00000E+000  -0.14332E+000   0.00000E+000   0.00000E+000
      36    0.70157E+000   0.25107E+001   0.00000E+000  -0.12492E+000   0.00000E+000   0.00000E+000
      37    0.73609E+000   0.26488E+001   0.00000E+000  -0.10400E+000   0.00000E+000   0.00000E+000
      38    0.77028E+000   0.27877E+001   0.00000E+000  -0.80343E-001   0.00000E+000   0.00000E+000
      39    0.80408E+000   0.29276E+001   0.00000E+000  -0.53724E-001   0.00000E+000   0.00000E+000
      40    0.83739E+000   0.30684E+001   0.00000E+000  -0.23881E-001   0.00000E+000   0.00000E+000
      41    0.87012E+000   0.32102E+001   0.00000E+000   0.94901E-002   0.00000E+000   0.00000E+000
      42    0.90212E+000   0.33534E+001   0.00000E+000   0.46746E-001   0.00000E+000   0.00000E+000
      43    0.93324E+000   0.34980E+001   0.00000E+000   0.88316E-001   0.00000E+000   0.00000E+000
      44    0.96323E+000   0.36448E+001   0.00000E+000   0.13473E+000   0.00000E+000   0.00000E+000
      45    0.99180E+000   0.37942E+001   0.00000E+000   0.18663E+000   0.00000E+000   0.00000E+000
      46    0.10185E+001   0.39476E+001   0.00000E+000   0.24488E+000   0.00000E+000   0.00000E+000
      47    0.10426E+001   0.41068E+001   0.00000E+000   0.31058E+000   0.00000E+000   0.00000E+000
