
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =1740
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       0.641   TIME= 00:06:05
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   00:06:05  FEB 19, 2018 CP=      0.641

 Simple Cube--Static Structural (A5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
       1   -0.29565E+000  -0.68985E+000  -0.29565E+000  -0.11608E+000  -0.11328E+000   0.00000E+000
       2   -0.30886E+000  -0.72068E+000  -0.30886E+000  -0.12496E+000   0.11626E+000   0.00000E+000
       3   -0.13779E+000  -0.50691E+000  -0.16442E+000  -0.69115E-001  -0.65817E-001   0.89993E-002
       4   -0.10562E+000  -0.45427E+000  -0.15467E+000  -0.61528E-001  -0.45916E-001  -0.65501E-002
       5   -0.17718E+000  -0.46174E+000  -0.18007E+000  -0.79373E-001  -0.46381E-001  -0.12595E-001
       6   -0.15699E+000  -0.44397E+000  -0.16227E+000  -0.76412E-001  -0.17310E-001   0.10208E-002
       7   -0.15156E+000  -0.44376E+000  -0.17860E+000  -0.73162E-001  -0.12336E-001  -0.13004E-002
       8   -0.14608E+000  -0.43717E+000  -0.15481E+000  -0.74397E-001  -0.29391E-002   0.40399E-002
       9   -0.19432E+000  -0.46476E+000  -0.18487E+000  -0.85009E-001   0.11131E-001  -0.23667E-002
      10   -0.20572E+000  -0.48000E+000  -0.20572E+000  -0.86766E-001   0.23668E-001   0.00000E+000
      11   -0.19256E+000  -0.47900E+000  -0.18607E+000  -0.93526E-001   0.33219E-001  -0.79699E-002
      12   -0.22177E+000  -0.51746E+000  -0.22177E+000  -0.11168E+000   0.59347E-001  -0.80726E-017
      13   -0.22883E+000  -0.56765E+000  -0.21428E+000  -0.10643E+000   0.68641E-001  -0.11697E-001
      14    0.74528E-003  -0.39817E+000   0.70981E-003   0.93320E-003  -0.89773E-003  -0.18790E-003
      15    0.30789E-003  -0.39777E+000   0.81809E-003   0.97457E-003  -0.12478E-002   0.13351E-004
      16    0.75893E-004  -0.39460E+000   0.15217E-002   0.14906E-002  -0.20556E-002   0.51154E-003
      17    0.45990E-003  -0.38934E+000   0.18311E-002   0.16985E-002  -0.25339E-002   0.92105E-003
      18    0.17504E-002  -0.38166E+000   0.73920E-003   0.28066E-002  -0.21559E-002   0.13232E-002
      19    0.25262E-002  -0.37711E+000   0.75586E-003   0.23871E-002  -0.21746E-002   0.11533E-002
      20    0.29760E-002  -0.36560E+000   0.28810E-002   0.20724E-002  -0.16748E-002   0.19945E-002
      21   -0.44135E-003  -0.36567E+000  -0.16459E-002   0.13648E-002   0.41360E-004   0.18989E-002
      22    0.87459E-003  -0.35253E+000   0.96866E-003   0.19772E-002  -0.29496E-004   0.11403E-002
      23   -0.32962E-003  -0.36806E+000  -0.92640E-002  -0.14586E-002   0.87205E-002   0.50808E-003
      24   -0.15202E-001  -0.39082E+000  -0.15345E-001  -0.13291E-001   0.15769E-001  -0.24176E-002
      25   -0.12759E+000  -0.51694E+000  -0.11885E+000  -0.65767E-001   0.61080E-001  -0.16502E-001
      26    0.30911E-003  -0.39861E+000   0.57822E-003   0.56101E-003   0.83012E-003   0.25190E-003
      27    0.40545E-003  -0.39907E+000   0.10797E-002   0.62712E-003   0.12442E-002   0.42276E-003
      28    0.79956E-003  -0.39934E+000   0.24381E-002   0.84273E-003   0.13673E-002   0.63991E-003
      29    0.98541E-003  -0.39939E+000   0.34846E-002   0.80363E-003   0.13925E-002   0.70858E-003
      30    0.70393E-003  -0.39955E+000   0.46052E-002   0.58111E-003   0.12899E-002   0.35741E-003
      31    0.82532E-003  -0.39953E+000   0.53756E-002   0.78535E-003   0.10889E-002  -0.30254E-004
      32    0.14086E-002  -0.39968E+000   0.80417E-002   0.11262E-002   0.28285E-003  -0.43581E-003
      33    0.15444E-002  -0.39896E+000   0.72926E-002   0.14094E-002  -0.75204E-003  -0.28204E-003
      34    0.18428E-002  -0.39838E+000   0.66404E-002   0.17542E-002  -0.16663E-002  -0.34359E-003
      35    0.10439E-002  -0.39911E+000   0.39644E-002   0.12355E-002  -0.16633E-002  -0.22008E-003
      36    0.88371E-003  -0.39906E+000   0.30160E-002   0.85808E-003  -0.13505E-002  -0.16495E-003
      37    0.36135E-003  -0.39883E+000   0.84887E-003   0.77191E-003  -0.11385E-002  -0.16363E-003
      38    0.18835E-003  -0.39793E+000   0.26016E-003   0.11020E-002   0.15100E-002  -0.12205E-003
      39    0.83541E-003  -0.39380E+000   0.11622E-003   0.17453E-002   0.20054E-002  -0.93762E-003
      40    0.10835E-002  -0.39064E+000   0.32815E-003   0.17513E-002   0.17354E-002  -0.73094E-003
      41    0.21368E-002  -0.38424E+000   0.17945E-002   0.13973E-002   0.12274E-002  -0.24292E-003
      42    0.10306E-002  -0.37639E+000   0.25730E-002   0.27325E-002   0.32313E-002  -0.49708E-003
      43    0.32013E-002  -0.37017E+000   0.18329E-002   0.42501E-002   0.39466E-002  -0.22277E-002
      44    0.25740E-002  -0.36504E+000   0.18374E-002   0.26865E-002   0.17878E-002  -0.24485E-002
      45    0.23696E-003  -0.35520E+000   0.13360E-002   0.25301E-002   0.18108E-002  -0.22943E-002
      46    0.47402E-003  -0.37347E+000  -0.32463E-002  -0.36484E-002  -0.46124E-002  -0.51447E-003
      47   -0.14771E-001  -0.39007E+000  -0.16370E-001  -0.10309E-001  -0.19451E-001  -0.48237E-002
      48   -0.80115E-001  -0.48533E+000  -0.91057E-001  -0.48530E-001  -0.53970E-001   0.96546E-002
      49   -0.30769E+000  -0.71794E+000  -0.30769E+000   0.12089E+000   0.11912E+000   0.00000E+000
      50   -0.16972E+000  -0.52605E+000  -0.17177E+000  -0.79072E-001   0.75443E-001  -0.59427E-002
      51   -0.21913E+000  -0.51131E+000  -0.21913E+000  -0.56065E-001   0.92270E-001   0.14825E-017
      52   -0.16321E+000  -0.44215E+000  -0.15370E+000  -0.36557E-001   0.80362E-001   0.23577E-002
      53   -0.21296E+000  -0.49690E+000  -0.21296E+000  -0.26482E-001   0.10803E+000   0.00000E+000
      54   -0.18341E+000  -0.47616E+000  -0.19487E+000  -0.13441E-001   0.10114E+000  -0.59090E-002
      55   -0.18797E+000  -0.47898E+000  -0.19758E+000  -0.15885E-002   0.97150E-001   0.51422E-002
      56   -0.21638E+000  -0.50489E+000  -0.21638E+000   0.13867E-001   0.10197E+000  -0.14568E-017
      57   -0.16744E+000  -0.45589E+000  -0.15975E+000   0.22422E-001   0.77626E-001  -0.17445E-002
      58   -0.21977E+000  -0.51280E+000  -0.21977E+000   0.37747E-001   0.88090E-001   0.00000E+000
      59   -0.18922E+000  -0.49052E+000  -0.21159E+000   0.59382E-001   0.92632E-001  -0.64988E-002
      60   -0.20501E+000  -0.54555E+000  -0.21572E+000   0.74736E-001   0.93723E-001   0.12622E-001
      61    0.56740E-003  -0.39854E+000   0.83260E-003  -0.59555E-003  -0.86075E-003   0.28153E-004
      62    0.34816E-003  -0.39794E+000   0.54470E-003  -0.83128E-003  -0.10268E-002  -0.63930E-004
